"","society_id","Gathering","Hunting","Fishing","Husbandry","Agriculture","Agriculture_intensity"
"126","Ad9",2.39234449760766,10.0478468899522,10.0478468899522,19.6172248803828,57.8947368421053,"Extensive/shifting"
"127","Ae1",10.2439024390244,10.2439024390244,10.2439024390244,10.2439024390244,59.0243902439024,"Extensive/shifting"
"128","Ae10",2.34741784037559,9.85915492957746,2.34741784037559,28.6384976525822,56.8075117370892,"Intensive"
"129","Ae11",10.0478468899522,19.6172248803828,48.3253588516746,2.39234449760766,19.6172248803828,"Extensive/shifting"
"130","Ae12",2.34741784037559,2.34741784037559,28.6384976525822,9.85915492957746,56.8075117370892,"Extensive/shifting"
"131","Ae13",2.34741784037559,2.34741784037559,9.85915492957746,38.0281690140845,47.4178403755869,NA
"132","Ae14",2.34741784037559,2.34741784037559,9.85915492957746,38.0281690140845,47.4178403755869,"Intensive"
"133","Ae15",2.39234449760766,10.0478468899522,10.0478468899522,29.1866028708134,48.3253588516746,"Intensive"
"134","Ae16",2.34741784037559,9.85915492957746,2.34741784037559,9.85915492957746,75.5868544600939,NA
"135","Ae17",2.39234449760766,19.6172248803828,19.6172248803828,10.0478468899522,48.3253588516746,"Extensive/shifting"
"136","Ae18",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"137","Ae19",2.39234449760766,19.6172248803828,10.0478468899522,19.6172248803828,48.3253588516746,NA
"138","Ae2",2.39234449760766,10.0478468899522,10.0478468899522,29.1866028708134,48.3253588516746,"Extensive/shifting"
"139","Ae20",2.34741784037559,2.34741784037559,38.0281690140845,9.85915492957746,47.4178403755869,"Extensive/shifting"
"140","Ae21",2.34741784037559,38.0281690140845,2.34741784037559,9.85915492957746,47.4178403755869,"Extensive/shifting"
"141","Ae22",2.39234449760766,19.6172248803828,19.6172248803828,10.0478468899522,48.3253588516746,"Extensive/shifting"
"142","Ae23",2.39234449760766,10.0478468899522,19.6172248803828,10.0478468899522,57.8947368421053,NA
"143","Ae24",10.2439024390244,10.2439024390244,10.2439024390244,10.2439024390244,59.0243902439024,NA
"144","Ae25",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,NA
"145","Ae26",2.39234449760766,19.6172248803828,10.0478468899522,10.0478468899522,57.8947368421053,"Extensive/shifting"
"146","Ae27",2.34741784037559,2.34741784037559,47.4178403755869,9.85915492957746,38.0281690140845,"Extensive/shifting"
"147","Ae28",2.39234449760766,10.0478468899522,38.755980861244,10.0478468899522,38.755980861244,"Extensive/shifting"
"148","Ae29",2.34741784037559,2.34741784037559,66.1971830985916,9.85915492957746,19.2488262910798,"Extensive/shifting"
"149","Ae3",10.2439024390244,10.2439024390244,20,10.2439024390244,49.2682926829268,"Extensive/shifting"
"150","Ae30",2.25225225225225,2.25225225225225,2.25225225225225,9.45945945945946,83.7837837837838,"Extensive/shifting"
"151","Ae31",2.30414746543779,28.110599078341,2.30414746543779,2.30414746543779,64.9769585253456,"Extensive/shifting"
"152","Ae32",2.34741784037559,38.0281690140845,2.34741784037559,9.85915492957746,47.4178403755869,"Extensive/shifting"
"153","Ae33",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"154","Ae34",2.39234449760766,19.6172248803828,10.0478468899522,10.0478468899522,57.8947368421053,"Extensive/shifting"
"155","Ae35",2.39234449760766,10.0478468899522,10.0478468899522,10.0478468899522,67.4641148325359,"Extensive/shifting"
"156","Ae36",2.34741784037559,9.85915492957746,9.85915492957746,2.34741784037559,75.5868544600939,"Extensive/shifting"
"157","Ae37",2.34741784037559,2.34741784037559,19.2488262910798,9.85915492957746,66.1971830985916,NA
"158","Ae38",2.34741784037559,9.85915492957746,9.85915492957746,2.34741784037559,75.5868544600939,"Extensive/shifting"
"159","Ae39",2.34741784037559,19.2488262910798,19.2488262910798,2.34741784037559,56.8075117370892,"Extensive/shifting"
