@relation R_data_frame

@attribute Agriculture_intensity numeric
@attribute Major_crop_type numeric
@attribute Settlement_pattern numeric
@attribute Political_complexity numeric
@attribute Plow_cultivation numeric
@attribute Animal_type {'Absence or near absence',Bovine,Camelids,Deer,Equine,Pigs,Sheep/goats}
@attribute Milking {'Absence or near absence','More than sporadically'}
@attribute Population_size numeric
@attribute Amphibian_richness numeric
@attribute Bird_richness numeric
@attribute Mammal_richness numeric
@attribute Plants_richness numeric
@attribute Annual_NPP_Var numeric
@attribute Monthly_mean_NPP numeric
@attribute NPP_Constancy numeric
@attribute NPP_Contingency numeric
@attribute NPP_Predictability numeric
@attribute Biome {'Boreal Forests/Taiga','Deserts & Xeric Shrublands','Flooded Grasslands & Savannas',Ice,'Inland Water',Mangroves,'Mediterranean Forests, Woodlands & Scrub','Montane Grasslands & Shrublands','Temperate Broadleaf & Mixed Forests','Temperate Conifer Forests','Temperate Grasslands, Savannas & Shrublands','Tropical & Subtropical Coniferous Forests','Tropical & Subtropical Dry Broadleaf Forests','Tropical & Subtropical Grasslands, Savannas & Shrublands','Tropical & Subtropical Moist Broadleaf Forests',Tundra}
@attribute Annual_Mean_Temp numeric
@attribute Annual_Precip_Var numeric
@attribute Annual_Temp_Var numeric
@attribute Monthly_Mean_Precip numeric
@attribute Precip_Constancy numeric
@attribute Precip_Contingency numeric
@attribute Precip_Predictability numeric
@attribute Temp_Constancy numeric
@attribute Temp_Contingency numeric
@attribute Temp_Predictability numeric
@attribute cluster {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15}

@data
3,5,7,3,1,Sheep/goats,'Absence or near absence',100000,23.08064,280.475135,103.483839,2219.76,1.437811,1.512769,0.103445,0.23162,0.335064,'Tropical & Subtropical Grasslands, Savannas & Shrublands',22.303145,23150844148,1.132691,149016.8983,0.267944,0.33376,0.601703,0.666275,0.07708,0.743355,8
3,6,7,2,1,'Absence or near absence','Absence or near absence',38000,46,350.12905,129,1602.26,1.960694,2.182548,0.105117,0.304888,0.410005,'Tropical & Subtropical Grasslands, Savannas & Shrublands',18.567985,21038146658,10.598519,130320.2093,0.321702,0.334312,0.656014,0.509838,0.22611,0.735948,10
3,6,7,2,1,Sheep/goats,'Absence or near absence',60000,37,329.902161,128.490795,1479.81,1.217241,1.603378,0.175319,0.276448,0.451767,'Tropical & Subtropical Grasslands, Savannas & Shrublands',22.176936,15805294762,11.540146,98433.33314,0.331465,0.290741,0.622206,0.486754,0.224846,0.711599,7
3,5,7,3,1,Sheep/goats,'Absence or near absence',100000,46,378.271887,124.320735,1920.76,1.514013,2.149424,0.119928,0.272012,0.39194,'Tropical & Subtropical Grasslands, Savannas & Shrublands',19.234662,24264393558,7.009587,141280.5774,0.359154,0.351635,0.710788,0.543587,0.209238,0.752825,9
5,6,7,2,1,Bovine,'Absence or near absence',200000,48.100234,362.283691,126.716429,1888.99,1.611995,2.002846,0.113457,0.278727,0.392184,'Tropical & Subtropical Grasslands, Savannas & Shrublands',19.706751,25686541287,5.921744,147871.9815,0.346146,0.34655,0.692695,0.557869,0.18932,0.747189,9
3,6,7,3,1,Sheep/goats,'Absence or near absence',115000,38.954116,396.528236,125.99213,1940.43,0.501953,2.19417,0.249617,0.258943,0.499288,'Tropical & Subtropical Grasslands, Savannas & Shrublands',19.171426,15423010273,8.900911,108738.2752,0.411482,0.297257,0.708738,0.534049,0.226054,0.760104,8
3,6,7,3,1,Sheep/goats,'Absence or near absence',20000,39.160446,313.677312,128.490651,1554.16,1.067414,1.632016,0.19877,0.262612,0.461382,'Tropical & Subtropical Grasslands, Savannas & Shrublands',22.435198,14090898866,11.087491,94550.6378,0.343848,0.28828,0.632128,0.491922,0.223306,0.715229,8
3,6,5,2,1,Sheep/goats,'Absence or near absence',575000,45.569645,383.237567,80.643475,1834.17,1.344076,2.762908,0.161778,0.268696,0.430474,'Tropical & Subtropical Grasslands, Savannas & Shrublands',21.836792,11500725167,9.941732,109055.1184,0.436422,0.231302,0.667723,0.508942,0.221912,0.730854,7
3,6,7,2,1,Bovine,'Absence or near absence',360000,37.045367,283.113888,93.52009,1935.36,0.940719,2.122758,0.191866,0.290625,0.482491,'Tropical & Subtropical Grasslands, Savannas & Shrublands',19.57464,14697362167,8.155757,107451.9699,0.422825,0.291471,0.714296,0.537074,0.218316,0.75539,9
3,6,4,3,1,Sheep/goats,'Absence or near absence',73000,16,286.541701,100.495142,1963.51,2.362527,2.54078,0.103338,0.263066,0.366404,'Tropical & Subtropical Grasslands, Savannas & Shrublands',22.542609,14911292219,0.716514,172282.7628,0.414878,0.272814,0.687692,0.721806,0.083456,0.805262,7
